,Median Income,Mean Income,Median Margin of Error,Mean Margin of Error
Astoria,82209.0,106469.0,±7161.318132857945,±7883.862111934734
Bath Beach,66958.5,92944.5,±4656.927366837494,±4129.849452461917
Battery Park City,170385.0,251759.0,±25933.0,±34491.0
Bay Ridge,67321.5,91624.0,±3785.8145754909865,±3254.352239693792
Bayside,86012.0,107837.0,±8220.01415246146,±6271.645717034724
Bedford Park,37831.5,50398.0,±3169.224274171836,±3278.040039413796
Bedford-Stuyvesant,59437.2,88629.0,±3991.394693587694,±5441.567549888543
Belmont,33031.666666666664,49481.333333333336,±3018.1509239930333,±4489.417705374866
Bensonhurst,56311.5,78947.5,±3079.7708518654435,±2938.863215598848
Boerum Hill,122598,182618,±10199,±13452
Borough Park,57564.75,80150.0,±3310.4496673412814,±3839.839938070336
Briarwood,69873,88634,±4182,±4989
Brighton Beach,56308,83018,±2972,±3804
Bronxwood,40639,55988,±1522,±2663
Brooklyn Heights,139697,198854,±6048,±10902
Brownsville,38831.5,59556.0,±2303.8052218015305,±3841.360175771077
Bushwick,52066.0,73559.5,±3723.0998173564994,±4232.596897886687
Canarsie,74015,89086,±3089,±2489
Carroll Gardens,108525,169055,±11798,±15304
Central Harlem,51866.0,82451.4,±6954.863808875052,±7344.131616467668
Central Park South,101651,177809,±5232,±16162
Chelsea,116497.5,188360.0,±8063.431341556769,±14037.636731302033
Chinatown,83141.0,182559.5,±12404.962817356609,±29557.619660588367
Clinton Hill,81760.0,120606.0,±5786.309920839014,±6992.870261916776
Cobble Hill,124111.0,183954.5,±9374.729542765486,±13286.57254524281
Columbia St Waterfront District,124111.0,183954.5,±9374.729542765486,±13286.57254524281
Concourse,31974.5,45995.0,±2742.3509986870754,±3263.6939960725485
Coney Island,35776,59226,±3585,±4827
Corona,56904,71465,±3092,±2745
Crown Heights,67941.4,96571.4,±4539.076161511282,±4873.520657594467
DUMBO,139697,198854,±6048,±10902
Ditmas Park,60896,80354,±3126,±3697
Downtown Brooklyn,131147.5,190736.0,±8384.447059884153,±12243.567862351236
Dyker Heights,76278,103981,±5932,±4948
East Flatbush,57707,76911,±3943,±3791
East Harlem,31104.5,64864.0,±4736.995302932018,±4944.115087657245
East New York,39264.333333333336,55736.333333333336,±3385.54052799057,±4599.775864104685
East Village,99100.5,159886.5,±8661.938033719705,±13826.267898460525
Elmhurst,56835,73043,±3506,±3147
Financial District,167634.5,231309.75,±18731.630401542734,±53296.47679021569
Flatbush,60896,80354,±3126,±3697
Flatiron,139188,214151,±21196,±16957
Flushing,54047.333333333336,75931.0,±4369.789773738168,±4437.29962927905
Fordham,34954.75,48588.0,±2889.016484895855,±3169.5497708665184
Forest Hills,88117,116806,±3928,±4699
Fort Greene,106453.75,155671.0,±7203.483011710377,±9970.084967040151
Glendale,77044,90871,±2599,±2783
Gowanus,144330,197323,±7527,±11160
Gramercy Park,134584.5,212953.5,±16245.901652416833,±17311.04868284992
Gravesend,56908,84634,±6395,±3864
Greenpoint,96435,122507,±7113,±5381
Greenwich Village,128208.25,205226.5,±8241.471288550365,±16388.096022723323
Greenwood,74072,98875,±8577,±12480
Hamilton Heights,50258.0,72499.0,±5750.380654066883,±7453.887151457732
Highbridge,31351,40997,±2417,±1826
Inwood,58377.5,75599.0,±5770.932550290291,±4746.979302672385
Jackson Heights,61239,82871,±4924,±4431
Jamaica,67480.6,87521.0,±5096.6649880093155,±4961.440597245925
Jamaica Estates,66270,90626,±2558,±4937
Kensington,78249,105235,±4756,±5599
Kew Gardens,75476,104554,±7112,±8001
Kew Gardens Hills,64332,85658,±8841,±6023
Kingsbridge,60397,87212,±4135,±4457
Little Italy,130675,294915,±17403,±41636
Long Island City,89525,123847,±11373,±10039
Lower East Side,35607,70204,±2214,±3708
Maspeth,82326,99441,±5500,±4543
Middle Village,89700,107104,±5816,±4848
Midtown,118167.27272727272,185308.18181818182,±13202.936226461143,±17396.820414818754
Midtown East,134539.0,220771.0,±14952.175828286665,±24349.953285376134
Midtown South,117186.2,171713.4,±12954.170301489787,±17875.488149977893
Midtown West,99685.5,158429.5,±7151.928411274822,±13682.467686788083
Midwood,64273.0,91291.0,±3310.89300642591,±4075.593024334005
Morningside Heights,78038.5,135899.0,±5422.678305044473,±9264.914678506218
Mott Haven,28458.0,45415.333333333336,±3063.7457466310743,±4061.90685926368
Nolita,35607,70204,±2214,±3708
Norwood,40639,55988,±1522,±2663
Park Slope,133464.0,189970.5,±8963.128081200224,±12359.245608045825
Prospect Heights,111583.0,159727.0,±8660.690647979525,±10462.469784902607
Prospect Lefferts Gardens,65200,91135,±3725,±5113
Prospect Park South,69572.5,92794.5,±4024.3888977085703,±4744.291833350895
Red Hook,108525,169055,±11798,±15304
Rego Park,75266,93752,±4732,±5121
Ridgewood,77044,90871,±2599,±2783
Riverdale,77027.0,112198.5,±7823.9182638879865,±9064.248727831779
Rockaway All,72517.6,99870.0,±13820.137473990626,±12024.688744412473
Roosevelt Island,112658,150655,±10162,±15527
Sheepshead Bay,61320.0,86379.0,±2780.594271014741,±3475.266896225382
Soho,120582.5,237944.0,±13331.192932367305,±32269.554939602127
Soundview,41947.0,60158.5,±3623.1348995034673,±3842.8689803322727
Stuyvesant Town/PCV,103704.0,161084.0,±16135.992873077255,±13380.326098417781
Sunnyside,75069.0,99195.33333333333,±7099.117574271702,±6720.420894557126
Sunset Park,64595.5,87009.5,±6264.715835534761,±9052.820996794315
Tremont,32078.0,46778.0,±2578.5364065686567,±3057.211965173498
Tribeca,130675.0,294915.0,±17403.0,±41636.0
University Heights,34777.5,47917.0,±2805.5751638478696,±2873.66708231834
Upper East Side,131352.6,235046.2,±16660.329462528643,±29787.734412002534
Upper West Side,126024.0,225710.0,±32041.392966754738,±34450.85496036347
Washington Heights,57930.333333333336,77750.0,±5420.302882066032,±7097.119251264323
West Harlem,52994.0,82378.5,±4847.075922656875,±7860.05518428465
West Village,136181.0,214088.5,±8382.188556695679,±14376.751110734302
Williamsburg,66968.0,99393.0,±3718.2128099397432,±4714.528873599143
Windsor Terrace,111289.5,151279.0,±6295.842477381403,±8828.771177236387
Woodhaven,77738,97905,±5614,±5404
Woodside,59910,79252,±3389,±3121
Woodstock,30993.333333333332,45968.666666666664,±2617.5821540752704,±3788.1128107101913
