Year-Month,Mean Rent
0,2020-01,2706.6311475409834
1,2020-02,2720.7355371900826
2,2020-03,2750.2833333333333
3,2020-04,2732.6434782608694
4,2020-05,2668.798319327731
5,2020-06,2623.5378151260506
6,2020-07,2574.5371900826444
7,2020-08,2531.5163934426228
8,2020-09,2470.27868852459
9,2020-10,2432.6311475409834
10,2020-11,2411.9918032786886
11,2020-12,2398.2868852459014
12,2021-01,2384.3524590163934
13,2021-02,2372.6967213114754
14,2021-03,2369.655737704918
15,2021-04,2403.9180327868853
16,2021-05,2454.245901639344
17,2021-06,2516.3852459016393
18,2021-07,2593.9590163934427
19,2021-08,2676.688524590164
20,2021-09,2748.1967213114754
21,2021-10,2771.1967213114754
22,2021-11,2808.5
23,2021-12,2836.8688524590166
24,2022-01,2866.1147540983607
25,2022-02,2915.561983471074
26,2022-03,2953.314049586777
27,2022-04,3033.3553719008264
28,2022-05,3118.4590163934427
29,2022-06,3193.438016528926
30,2022-07,3252.5491803278687
31,2022-08,3252.0737704918033
32,2022-09,3252.877049180328
33,2022-10,3240.3688524590166
34,2022-11,3227.77868852459
35,2022-12,3212.3278688524592
36,2023-01,3217.9754098360654
37,2023-02,3261.155737704918
38,2023-03,3242.2049180327867
39,2023-04,3292.7622950819673
