,Median 2020-2022 Rent,Median Monthly 2021 Income
Astoria,7369.45,2225.0
Bath Beach,5653.166666666667,1795.0
Battery Park City,14845.666666666666,4325.0
Bay Ridge,5882.958333333333,1900.0
Bayside,7709.86111111111,2087.5
Bedford Park,3287.75,1700.0
Bedford-Stuyvesant,5359.733333333334,2565.0
Belmont,3009.3888888888887,2137.5
Bensonhurst,4889.041666666667,1768.5
Boerum Hill,11105.75,3219.0
Borough Park,5045.895833333333,1850.0
Briarwood,5945.5,1756.5
Brighton Beach,4889.083333333333,2048.5
Bronxwood,3553.25,1685.0
Brooklyn Heights,12356.833333333334,3435.0
Brownsville,3463.0416666666665,2000.0
Bushwick,4738.75,2765.5
Canarsie,6130.166666666667,2225.0
Carroll Gardens,10136.5,3225.0
Central Harlem,4420.883333333333,2499.5
Central Park South,8794.833333333334,7525.0
Chelsea,10031.333333333334,4185.0
Chinatown,7277.708333333333,2798.0
Clinton Hill,7626.416666666667,2992.5
Cobble Hill,11246.666666666666,3250.0
Columbia St Waterfront District,11246.666666666666,2775.0
Concourse,2825.9166666666665,1862.5
Coney Island,3103.4166666666665,2250.5
Corona,5187.833333333333,1915.0
Crown Heights,6148.433333333333,2500.0
DUMBO,12356.833333333334,4547.5
Ditmas Park,5514.416666666667,2199.5
Downtown Brooklyn,11731.291666666666,3545.0
Dyker Heights,6432.416666666667,2100.0
East Flatbush,5117.833333333333,2199.5
East Harlem,2769.0,2297.5
East New York,3584.194444444445,2199.5
East Village,8961.833333333334,3250.0
Elmhurst,5172.666666666667,1980.0
Financial District,14868.020833333334,3774.5
Flatbush,5514.416666666667,2298.5
Flatiron,10969.583333333334,4884.0
Flushing,4835.833333333333,2000.0
Fordham,3163.1666666666665,1750.0
Forest Hills,8026.75,2097.5
Fort Greene,9678.854166666666,3225.0
Glendale,6445.833333333333,2200.0
Gowanus,13077.5,2956.5
Gramercy Park,11215.333333333334,3647.5
Gravesend,4773.416666666667,1825.0
Greenpoint,9198.75,3267.5
Greenwich Village,11062.833333333334,3997.5
Greenwood,6419.25,2400.0
Hamilton Heights,4511.194444444444,2450.0
Highbridge,2823.0833333333335,1895.0
Inwood,4939.625,1950.0
Jackson Heights,5242.5,1962.5
Jamaica,5854.083333333333,2238.5
Jamaica Estates,5520.5,1905.0
Kensington,6821.416666666667,2157.5
Kew Gardens,6696.666666666667,1900.0
Kew Gardens Hills,5955.75,1999.5
Kingsbridge,5254.0,1800.0
Little Italy,11464.333333333334,2995.0
Long Island City,8243.333333333334,3193.5
Lower East Side,3091.0833333333335,3500.0
Maspeth,7122.0,2197.0
Middle Village,7389.333333333333,2238.0
Midtown,10230.613636363636,4049.0
Midtown East,12181.958333333334,3497.5
Midtown South,10043.1,4081.5
Midtown West,8488.125,3570.0
Midwood,5766.458333333333,2062.5
Morningside Heights,6744.791666666667,3299.0
Mott Haven,2403.6666666666665,2389.0
Nolita,3091.0833333333335,3725.0
Norwood,3553.25,1731.0
Park Slope,12091.625,3049.5
Prospect Heights,10320.666666666666,3144.0
Prospect Lefferts Gardens,5711.833333333333,2365.0
Prospect Park South,6167.916666666667,2197.0
Red Hook,10136.5,2700.0
Rego Park,6601.75,2012.5
Ridgewood,6445.833333333333,2500.0
Riverdale,6642.333333333333,2420.0
Rockaway All,6245.883333333334,1999.5
Roosevelt Island,9607.833333333334,3371.0
Sheepshead Bay,5322.708333333333,1939.0
Soho,10631.375,5147.5
Soundview,3539.25,2000.0
Stuyvesant Town/PCV,8716.083333333334,3995.5
Sunnyside,6844.083333333333,2000.0
Sunset Park,5586.541666666667,2000.0
Tremont,3038.5833333333335,1725.0
Tribeca,11464.333333333334,6975.0
University Heights,3124.9166666666665,1749.5
Upper East Side,11624.583333333334,3004.0
Upper West Side,11998.0,3450.0
Washington Heights,5038.583333333333,2203.0
West Harlem,4448.083333333333,2497.5
West Village,11495.916666666666,4148.0
Williamsburg,6759.055555555556,3500.0
Windsor Terrace,9949.458333333334,2719.5
Woodhaven,6393.416666666667,2075.0
Woodside,5527.083333333333,1897.0
Woodstock,2737.1666666666665,1945.0
